reportperiod,revenue,opinc,netinc,dps,netmargin,pe,cash_and_sti,equity,receivables,debtc,debt,pb,ncfo,ncfi,ncff,fcf,pfcf,shares,marketcap
2008-09-30,341269000,34074000,20371000,0,6.0%,24.737,250828000,324833000,0,1090000,39377000,5.786,60495000,-6667000,-86593000,26166000,28.370,435904000,1879606218
2008-06-30,337614000,34201000,26579000,0,7.9%,22.568,313464000,389462000,0,1029000,39611000,4.129,67380000,-98928000,6848000,13687000,21.260,446999000,1608209914
2008-03-31,326183000,15310000,13344000,0,4.1%,30.213,295495000,355433000,0,0,0,5.965,64062000,18133000,-90645000,4822000,31.070,453880000,2120225600
2007-12-31,302355000,20274000,15691000,0,5.2%,26.288,385142000,429812000,0,823000,36475000,4.074,71403000,-50087000,-23681000,21573000,38.390,468496000,1750982462
2007-09-30,293972000,21705000,15647000,0,5.3%,21.272,386181000,434438000,0,0,0,3.213,77663000,-52197000,-29844000,35559000,29.370,476630000,1395888020
2007-06-30,303693000,38426000,25494000,0,8.4%,21.091,377952000,444081000,0,0,0,2.980,65234000,-83897000,-15613000,6283000,38.240,489237000,1323557386
2007-03-31,305320000,11215000,9864000,0,3.2%,29.344,387983000,432204000,0,0,0,3.687,63029000,-249843000,4842000,-17899000,47.190,494704000,1593324119
2006-12-31,277233000,19492000,14617000,0,5.3%,36.249,400430000,414211000,0,0,0,4.274,87439000,-64640000,8890000,23580000,27.820,492954000,1770355067
2006-09-30,255950000,17055000,12781000,0,5.0%,21.407,369880000,387003000,0,0,0,4.007,61462000,-39122000,4699000,22651000,24.350,492415000,1550596603
2006-06-30,239351000,23889000,17037000,0,7.1%,24.299,342838000,366354000,0,0,0,4.417,53299000,-47792000,108430000,5433000,33.690,484225000,1618283785
2006-03-31,224126000,4782000,4404000,0,2.0%,29.058,229055000,237800000,0,0,0,6.751,45990000,-34315000,3834000,11966000,36.140,465192000,1605309161
2005-12-31,193000000,2798000,38211000,0,19.8%,35.010,213505000,226252000,0,0,0,6.503,59067000,-34734000,5815000,23617000,62.060,471016000,1471361441
2005-09-30,172740000,5520000,6946000,0,4.0%,148.480,183454000,178672000,0,0,0,7.799,37155000,-30141000,3900000,7024000,257.670,462084000,1393482023
2005-06-30,164027000,4454000,5684000,0,3.5%,40.880,172524000,164533000,0,0,0,5.308,36494000,-34657000,3313000,1815000,68.600,452144000,873351228
2005-03-31,152446000,-9783000,-8814000,0,-5.8%,30.884,167383000,152113000,0,0,0,3.771,29443000,-38368000,286000,-8748000,33.030,369712000,573546353
2004-12-31,138276000,-35487000,5569000,0,4.0%,29.896,176061000,156283000,0,68000,68000,4.131,30235000,-25017000,1607000,5317000,18.400,451227000,645609367
2004-09-30,141644000,33411000,18925000,0,13.4%,43.952,169353000,144820000,0,164000,164000,5.553,49268000,-35127000,273000,14347000,20.890,451143000,804183084
2004-06-30,120321000,16990000,2891000,0,2.4%,695.017,154925000,121906000,0,253000,253000,15.251,31966000,19103000,2187000,6446000,58.110,454825000,1859171184
2004-03-31,100370000,4440000,-5790000,0,-5.8%,565.299,147504000,113525000,0,360000,360000,15.422,33800000,-25214000,1708000,8969000,58.640,358974000,1750731320
2003-12-31,79352000,-20393000,2271000,0,2.9%,208.004,136463000,112708000,0,416000,460000,12.018,31359000,-22786000,2151000,8732000,49.920,472024000,1354524676
2003-09-30,72202000,11178000,3303000,0,4.6%,405.428,126091000,104861000,0,371000,556000,7.682,21986000,-14482000,437000,7847000,34.900,440440000,805586020
2003-06-30,63187000,10069000,3313000,0,5.2%,-145.535,118009000,98006000,0,835000,1091000,6.186,23620000,-19654000,1235000,4309000,29.590,431368000,606297540
2003-03-31,55669000,3618000,-2375000,0,-4.3%,-22.619,112026000,91064000,0,940000,1316000,5.115,12827000,-7755000,1142000,6245000,22.370,318318000,465821492
2002-12-31,45188000,2709000,-2254000,0,-5.0%,-11.630,105300000,89356000,0,1231000,1691000,2.726,14419000,-10121000,1195000,4685000,15.940,197428000,243620032
2002-09-30,40731000,1478000,-2850000,0,-7.0%,-8.384,98723000,87311000,0,1482000,1876000,2.449,11074000,-5767000,-745000,5250000,16.020,306908000,213800135
2002-06-30,36360000,2626000,-13115000,0,-36.1%,-10.223,93495000,86698000,0,1910000,2675000,3.326,8116000,-45615000,71587000,4639000,46.010,143024000,288360397
2002-03-31,30527000,101000,-4508000,0,-14.8%,,17362000,-90872000,0,2475000,6592000,,6505000,-5798000,-1167000,707000,,28658000,
2001-12-31,21618000,-1453000,-5029000,0,-23.3%,,17808000,-90504000,0,3012000,6868000,,6321000,-3472000,-952000,2749000,,27244000,
2001-09-30,18878000,-1766000,-5554000,0,-29.4%,,0,,,,,,478000,-2463000,11858000,-1828000,,26474000,
2001-06-30,18359000,-4316000,-8001000,0,-43.6%,,0,,,,,,853000,-2648000,-920000,-1400000,,25018000,
2001-03-31,17057000,-16804000,-20598000,0,-120.8%,,0,,,,,,-2805000,-4087000,-927000,-6758000,,23520000,
2000-12-31,,,,0,,,15538000,-73267000,0,3574000,7441000,,,,,,,19796000,
